Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän,lang_code,lang_name,domain,wiki,year,legacy_dspace,status,error,elapsed,is_broken,failure_type
ast,Estrabón,https://kulturarvsdata.se/LSH/agents/60826,https://ast.wikipedia.org/wiki/Estrabón,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.069066,True,hard_404
ast,François Rabelais,https://kulturarvsdata.se/LSH/agents/60751,https://ast.wikipedia.org/wiki/François_Rabelais,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.060518,True,hard_404
ast,Poggio Bracciolini,https://kulturarvsdata.se/LSH/agents/44215,https://ast.wikipedia.org/wiki/Poggio_Bracciolini,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.05449,True,hard_404
ast,Jacobo Balde,https://kulturarvsdata.se/LSH/agents/43235,https://ast.wikipedia.org/wiki/Jacobo_Balde,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056295,True,hard_404
ast,Álvaro Obregón,https://kulturarvsdata.se/LSH/agents/51204,https://ast.wikipedia.org/wiki/Álvaro_Obregón,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.05684,True,hard_404
ast,Apuleyo,https://kulturarvsdata.se/LSH/agents/51548,https://ast.wikipedia.org/wiki/Apuleyo,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054785,True,hard_404
ast,Leonardo Bruni,https://kulturarvsdata.se/LSH/agents/53292,https://ast.wikipedia.org/wiki/Leonardo_Bruni,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054487,True,hard_404
ast,Gayu Valeriu Catulu,https://kulturarvsdata.se/LSH/agents/49011,https://ast.wikipedia.org/wiki/Gayu_Valeriu_Catulu,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054918,True,hard_404
ast,Otto Brunfels,https://kulturarvsdata.se/LSH/agents/49359,https://ast.wikipedia.org/wiki/Otto_Brunfels,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054765,True,hard_404
ast,Bríxida de Suecia,https://kulturarvsdata.se/LSH/agents/63053,https://ast.wikipedia.org/wiki/Bríxida_de_Suecia,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056583,True,hard_404
